srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,label
59.166.0.2,64911.0,149.171.126.3,80.0,tcp,FIN,1.123026,1580,10168,31,29,3,5,http,10322.11133,68415.15625,12,18,255,255,238373770,2389045932,132,565,1,3924,9607.912497,7735.344194,1421959688,1421959689,102.062003,66.02741,0.000691,0.000555,0.000136,0,0,1.0,0.0,0.0,3,2,3,6,1,1,1,Benign,0
59.166.0.5,7270.0,149.171.126.4,53.0,udp,CON,0.001075,132,164,31,29,0,0,dns,491162.7813,610232.5625,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421951218,1421951218,0.011,0.003,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,3,2,3,1,1,1,Benign,0
175.45.176.1,0.0,149.171.126.17,0.0,unas,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424244440,1424244440,0.008,0.0,0.0,0.0,0.0,0,2,,,,10,10,3,4,3,3,11,DoS,1
59.166.0.8,40700.0,149.171.126.8,25.0,tcp,FIN,0.023391,37190,3276,31,29,18,8,smtp,12474883.0,1092727.875,52,40,255,255,1892035816,1893004715,715,82,0,0,23.986507,1.241305,1424249440,1424249440,0.451804,0.586718,0.000647,0.000503,0.000144,0,0,,,,1,1,2,2,1,1,2,Benign,0
59.166.0.4,1403.0,149.171.126.6,14431.0,udp,CON,0.036153,528,304,31,29,0,0,-,87627.58594,50452.24609,4,4,0,0,0,0,132,76,0,0,10.360528,10.839004,1421951653,1421951653,7.334,7.670333,0.0,0.0,0.0,0,0,0.0,0.0,0.0,5,4,3,2,1,1,2,Benign,0
59.166.0.3,9989.0,149.171.126.3,21.0,tcp,FIN,0.828631,2934,3742,31,29,11,15,ftp,27785.58984,35460.89844,52,54,255,255,3434717361,1286177790,56,69,0,0,1409.492789,52.843453,1424238079,1424238080,16.241334,15.624358,0.00067,0.000535,0.000135,0,0,,1.0,1.0,1,1,2,6,1,1,3,Benign,0
59.166.0.7,3617.0,149.171.126.7,44864.0,tcp,FIN,0.003838,320,1922,31,29,1,2,ftp-data,556539.875,3505992.75,6,8,255,255,1840941300,3995599375,53,240,0,0,36.578198,0.667439,1424253578,1424253578,0.7052,0.390286,0.001241,0.001101,0.00014,0,0,,,,3,3,11,6,1,1,4,Benign,0
59.166.0.5,1399.0,149.171.126.5,21.0,tcp,FIN,1.98562,2934,3742,31,29,11,15,ftp,11595.37012,14798.40039,52,54,255,255,1789740930,1796754271,56,69,0,0,2548.522081,75.359531,1421957801,1421957803,38.926588,37.453945,0.000701,0.000556,0.000145,0,0,0.0,0.0,0.0,1,1,5,5,1,1,2,Benign,0
59.166.0.6,6260.0,149.171.126.9,4337.0,tcp,FIN,0.031462,3598,49642,31,29,7,24,-,899879.25,12419300.0,60,62,255,255,3998487100,1858414727,60,801,0,0,31.265741,30.184102,1424235446,1424235446,0.537103,0.51535,0.000648,0.000538,0.00011,0,0,,,,10,7,3,7,1,1,3,Benign,0
149.171.126.10,1043.0,175.45.176.0,53.0,udp,INT,9e-06,264,0,60,0,0,0,dns,117333328.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424260105,1424260105,0.009,0.0,0.0,0.0,0.0,0,0,,,,22,22,14,14,14,14,22,Benign,0
10.40.182.1,0.0,224.0.0.5,0.0,ospf,REQ,50.004372,384,0,1,0,0,0,-,51.195522,0.0,6,0,0,0,0,0,64,0,0,0,3.162766,0.0,1421927977,1421928027,10000.857,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,4,4,2,2,4,2,Benign,0
59.166.0.8,30091.0,149.171.126.8,9277.0,tcp,FIN,0.272445,8928,320,31,29,4,1,ftp-data,243454.6406,7840.114746,14,6,255,255,3249401956,4194406918,638,53,0,0,1764.427332,72.111969,1421970404,1421970404,20.957308,54.350602,0.000711,0.000556,0.000155,0,0,0.0,0.0,0.0,3,3,1,1,1,1,1,Benign,0
59.166.0.0,52138.0,149.171.126.8,28375.0,tcp,FIN,0.032028,4222,61786,31,29,7,30,-,1040089.875,15224678.0,72,74,255,255,4060408537,1915998518,59,835,0,0,0.0,22.144804,1421945278,1421945278,0.446648,0.414151,0.001951,0.001791,0.00016,0,0,0.0,0.0,0.0,11,10,7,9,3,3,4,Benign,0
59.166.0.7,40773.0,149.171.126.9,30857.0,tcp,FIN,0.046413,320,1882,31,29,1,2,ftp-data,46021.58984,283885.9688,6,8,255,255,2387488264,300906011,53,235,0,0,642.181937,15.729755,1424220450,1424220450,9.2156,6.554429,0.000656,0.000529,0.000127,0,0,,,,1,1,2,3,1,1,3,Benign,0
59.166.0.2,30940.0,149.171.126.2,25.0,tcp,FIN,0.566887,37182,3380,31,29,18,8,smtp,514628.125,46570.125,52,42,255,255,1642328771,1670839583,715,80,0,0,826.096163,26.148189,1421940309,1421940310,11.108667,13.814634,0.000615,0.000483,0.000132,0,0,0.0,0.0,0.0,1,1,2,3,1,1,1,Benign,0
59.166.0.9,13920.0,149.171.126.1,57591.0,tcp,FIN,0.055024,3806,53914,31,29,7,26,-,544780.4375,7719976.5,64,66,255,255,2058463634,2058734049,59,817,0,0,57.320789,55.997659,1421938370,1421938370,0.86827,0.837631,0.000728,0.000571,0.000157,0,0,0.0,0.0,0.0,9,4,4,9,1,1,1,Benign,0
59.166.0.0,65386.0,149.171.126.8,143.0,tcp,FIN,0.720842,7545,14522,31,29,29,31,-,83025.125,159846.4063,117,122,255,255,2322746548,174157732,64,119,0,0,422.997136,417.155793,1421936112,1421936113,6.211319,5.953289,0.000621,0.000488,0.000133,0,0,0.0,0.0,0.0,1,7,2,2,1,1,1,Benign,0
59.166.0.6,14635.0,149.171.126.3,13312.0,tcp,FIN,0.005089,3784,2456,31,29,7,7,-,5618393.0,3647082.0,18,18,255,255,859911034,863041282,210,136,0,0,14.357681,0.346272,1424239123,1424239123,0.278882,0.268941,0.000638,0.000514,0.000124,0,0,,,,3,5,4,4,1,1,3,Benign,0
59.166.0.3,1773.0,149.171.126.7,6881.0,tcp,FIN,0.019287,1540,1644,31,29,4,4,-,598952.6875,644164.5,16,18,255,255,4113484152,1969236298,96,91,0,0,74.737557,2.225939,1421969656,1421969656,1.264867,1.107353,0.00058,0.000459,0.000121,0,0,0.0,0.0,0.0,17,11,9,11,6,1,7,Benign,0
59.166.0.1,1604.0,149.171.126.0,61083.0,tcp,FIN,0.533141,424,8824,31,29,1,4,-,5567.007324,121378.7656,8,12,255,255,3870687454,1030033911,53,735,0,0,4498.586988,3580.270622,1421945516,1421945517,76.117714,48.422365,0.000648,0.000489,0.000159,0,0,0.0,0.0,0.0,9,19,20,9,2,2,6,Benign,0
59.166.0.9,1875.0,149.171.126.8,54100.0,tcp,FIN,0.072245,2646,23604,31,29,7,15,-,286026.7188,2554419.0,42,44,255,255,1488126177,1530127361,63,536,0,0,94.832072,102.055554,1421944314,1421944314,1.746829,1.602488,0.003496,0.003332,0.000164,0,0,0.0,0.0,0.0,7,4,2,4,1,1,2,Benign,0
59.166.0.5,65463.0,149.171.126.7,53.0,udp,CON,0.001032,146,178,31,29,0,0,dns,565891.5,689922.5,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424255561,1424255561,0.009,0.007,0.0,0.0,0.0,0,0,,,,4,3,1,2,2,1,4,Benign,0
59.166.0.9,31860.0,149.171.126.0,53.0,udp,CON,0.00109,146,178,31,29,0,0,dns,535779.8125,653211.0,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421927983,1421927983,0.01,0.008,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4,2,2,2,1,1,1,Benign,0
59.166.0.2,18886.0,149.171.126.7,53.0,udp,CON,0.001056,130,162,31,29,0,0,dns,492424.25,613636.375,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421960778,1421960778,0.011,0.008,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3,5,2,1,1,1,1,Benign,0
175.45.176.1,47439.0,149.171.126.14,53.0,udp,INT,3e-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424254719,1424254719,0.003,0.0,0.0,0.0,0.0,0,2,,,,33,33,18,20,18,18,33,Generic,1
149.171.126.10,47439.0,175.45.176.0,53.0,udp,INT,9e-06,264,0,60,0,0,0,dns,117333328.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424260588,1424260588,0.009,0.0,0.0,0.0,0.0,0,0,,,,44,44,28,28,28,14,44,Benign,0
59.166.0.6,50449.0,149.171.126.1,55218.0,tcp,FIN,0.038181,3182,39582,31,29,7,20,-,653937.8125,8139965.0,52,54,255,255,286618213,2466282638,61,733,0,0,48.411392,45.132719,1424230740,1424230740,0.7574,0.71117,0.000596,0.000486,0.00011,0,0,,,,2,3,3,2,1,1,1,Benign,0
149.171.126.12,1043.0,175.45.176.0,53.0,udp,INT,7e-06,264,0,60,0,0,0,dns,150857136.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424224552,1424224552,0.007,0.0,0.0,0.0,0.0,0,0,,,,18,18,16,16,16,8,18,Benign,0
59.166.0.9,43436.0,149.171.126.9,3758.0,tcp,FIN,0.020905,2646,21294,31,29,7,14,-,988471.6875,7954843.5,42,42,255,255,3651440560,1511753687,63,507,0,0,30.39792,0.849314,1424245571,1424245571,0.502146,0.510675,0.000603,0.000475,0.000128,0,0,,,,6,2,1,4,1,1,1,Benign,0
59.166.0.5,59657.0,149.171.126.5,40121.0,tcp,FIN,0.011881,2334,16446,31,29,7,12,-,1528490.875,10782930.0,36,38,255,255,2408400898,2408694208,65,433,0,0,20.870376,19.315316,1421970007,1421970007,0.330257,0.306595,0.000653,0.000527,0.000126,0,0,0.0,0.0,0.0,3,4,1,3,1,1,1,Benign,0
59.166.0.2,27937.0,149.171.126.8,27532.0,tcp,FIN,0.011895,2438,19414,31,29,7,13,-,1596637.25,12730727.0,38,40,255,255,782852096,2928533042,64,485,0,0,19.065057,18.825996,1424259467,1424259467,0.321972,0.298026,0.000686,0.000562,0.000124,0,0,,,,3,5,1,1,1,1,1,Benign,0
59.166.0.8,50324.0,149.171.126.7,25.0,tcp,FIN,0.26982,37410,3380,31,29,18,8,smtp,1087866.0,97843.00781,52,42,255,255,1801056801,1802059384,719,80,0,0,532.780192,18.641871,1421950976,1421950976,5.283353,6.569073,0.000615,0.000482,0.000133,0,0,0.0,0.0,0.0,1,1,3,4,1,1,2,Benign,0
59.166.0.5,45802.0,149.171.126.5,53.0,udp,CON,0.001232,146,178,31,29,0,0,dns,474026.0,577922.125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421961712,1421961712,0.011,0.009,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,3,2,6,1,1,1,Benign,0
59.166.0.7,12323.0,149.171.126.8,5190.0,tcp,FIN,0.007006,1958,2412,31,29,6,6,-,2134170.75,2649158.0,22,26,255,255,2993627934,2993952362,89,93,0,0,17.527411,17.341784,1421936854,1421936854,0.316667,0.25584,0.000762,0.000599,0.000163,0,0,0.0,0.0,0.0,7,7,4,6,1,1,3,Benign,0
175.45.176.1,20849.0,149.171.126.19,111.0,udp,INT,1.8e-05,168,0,254,0,0,0,-,37333332.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1424257123,1424257123,0.018,0.0,0.0,0.0,0.0,0,2,,,,1,1,1,1,1,1,1,Reconnaissance,1
59.166.0.9,45242.0,149.171.126.3,25.0,tcp,FIN,0.210826,37110,3380,31,29,18,8,smtp,1381120.0,125221.75,52,42,255,255,2684196471,2680993760,714,80,0,0,454.332412,15.33383,1421959413,1421959413,4.12698,5.127708,0.000768,0.000587,0.000181,0,0,0.0,0.0,0.0,3,1,5,2,1,1,1,Benign,0
149.171.126.18,1043.0,175.45.176.3,53.0,udp,INT,5e-06,264,0,60,0,0,0,dns,211200000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424230519,1424230519,0.005,0.0,0.0,0.0,0.0,0,0,,,,44,44,21,21,21,12,44,Benign,0
59.166.0.9,15132.0,149.171.126.9,53.0,udp,CON,0.001208,146,178,31,29,0,0,dns,483443.7188,589404.0,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421947299,1421947299,0.011,0.008,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4,4,4,5,2,1,1,Benign,0
59.166.0.6,57188.0,149.171.126.0,5190.0,tcp,FIN,0.131963,1470,1728,31,29,5,4,-,85114.76563,97300.0,22,14,255,255,1425598305,3575783562,67,123,0,0,449.001606,15.440284,1424231067,1424231068,6.283952,10.037385,0.001243,0.001125,0.000118,0,0,,,,3,4,3,1,1,1,1,Benign,0
149.171.126.15,47439.0,175.45.176.3,53.0,udp,INT,2e-06,264,0,60,0,0,0,dns,528000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424244801,1424244801,0.002,0.0,0.0,0.0,0.0,0,0,,,,22,22,22,22,22,22,22,Benign,0
59.166.0.8,35925.0,149.171.126.0,30724.0,tcp,FIN,0.047323,320,1940,31,29,1,2,ftp-data,45136.61328,287048.5938,6,8,255,255,2638625536,2816210712,53,243,0,0,655.973976,16.062485,1424237663,1424237663,9.4026,6.688286,0.000615,0.000502,0.000113,0,0,,,,6,3,6,4,1,1,5,Benign,0
59.166.0.5,17976.0,149.171.126.3,111.0,udp,CON,0.220303,568,312,31,29,0,0,-,15469.60352,8497.387695,4,4,0,0,0,0,142,78,0,0,89.556484,96.620719,1421957918,1421957918,63.337,68.324664,0.0,0.0,0.0,0,0,0.0,0.0,0.0,7,6,2,2,1,1,2,Benign,0
59.166.0.7,12377.0,149.171.126.4,53.0,udp,CON,0.001049,146,178,31,29,0,0,dns,556720.6875,678741.6875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424225606,1424225606,0.008,0.007,0.0,0.0,0.0,0,0,,,,1,4,3,5,1,1,2,Benign,0
59.166.0.0,43854.0,149.171.126.7,80.0,tcp,FIN,1.006694,1684,10168,31,29,3,5,http,12428.80176,76321.10938,14,18,255,255,2477756540,329230878,120,565,1,3924,8765.43044,7674.598843,1424257895,1424257896,77.410151,59.183706,0.000724,0.000567,0.000157,0,0,1.0,,,1,2,6,1,1,1,1,Benign,0
59.166.0.7,5707.0,149.171.126.7,80.0,tcp,FIN,0.003871,1048,824,31,29,2,2,http,1895117.625,1533453.875,8,10,255,255,1572933632,1573968447,131,82,1,83,32.243335,0.674189,1424253466,1424253466,0.503429,0.374111,0.000637,0.000501,0.000136,0,0,1.0,,,1,1,2,2,1,1,1,Benign,0
59.166.0.1,10611.0,149.171.126.5,53502.0,udp,CON,0.001738,536,304,31,29,0,0,-,1850402.75,1049482.125,4,4,0,0,0,0,134,76,0,0,0.616362,0.300999,1424249945,1424249945,0.440333,0.217333,0.0,0.0,0.0,0,0,,,,8,10,6,4,1,1,3,Benign,0
175.45.176.3,47439.0,149.171.126.18,53.0,udp,INT,5e-06,114,0,254,0,0,0,dns,91200000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424233748,1424233748,0.005,0.0,0.0,0.0,0.0,0,2,,,,30,30,18,18,18,18,30,Generic,1
59.166.0.5,29879.0,149.171.126.9,6881.0,tcp,FIN,0.313959,1540,1644,31,29,4,4,-,36794.61328,39572.04688,16,18,255,255,57929539,2268350669,96,91,0,0,1379.609124,33.18098,1421971081,1421971081,20.909134,18.439941,0.000622,0.000476,0.000146,0,0,0.0,0.0,0.0,18,7,8,7,6,1,6,Benign,0
59.166.0.7,51358.0,149.171.126.6,111.0,udp,CON,0.458325,568,304,31,29,0,0,-,7435.771484,3979.70874,4,4,0,0,0,0,142,76,0,0,197.05675,145.630531,1421935220,1421935221,139.348672,102.980336,0.0,0.0,0.0,0,0,0.0,0.0,0.0,7,11,7,4,1,1,2,Benign,0
59.166.0.6,7664.0,149.171.126.6,7215.0,tcp,FIN,0.015901,2974,30506,31,29,7,18,-,1465568.25,15041067.0,48,50,255,255,1432163048,1432452480,62,610,0,0,19.170704,18.599029,1424220466,1424220466,0.33166,0.312286,0.000736,0.00059,0.000146,0,0,,,,6,10,2,2,1,1,2,Benign,0
59.166.0.5,49943.0,149.171.126.2,6881.0,tcp,FIN,0.143281,1540,1644,31,29,4,4,-,80624.78906,86710.73438,16,18,255,255,572459501,614802121,96,91,0,0,645.41341,15.758891,1424245698,1424245698,9.527667,8.392706,0.000733,0.000602,0.000131,0,0,,,,11,6,6,13,6,1,6,Benign,0
59.166.0.3,63146.0,149.171.126.2,53.0,udp,CON,0.001038,146,178,31,29,0,0,-,562620.4375,685934.5,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421933389,1421933389,0.01,0.003,0.0,0.0,0.0,0,0,0.0,0.0,0.0,12,12,5,4,1,1,2,Benign,0
59.166.0.3,39330.0,149.171.126.1,6881.0,tcp,FIN,0.018106,1540,1644,31,29,4,4,-,638020.5,686181.375,16,18,255,255,3237683318,1092689280,96,91,0,0,71.946877,2.114688,1424254597,1424254597,1.185867,1.038706,0.000575,0.000445,0.00013,0,0,,,,16,14,16,16,12,1,6,Benign,0
59.166.0.8,63590.0,149.171.126.0,52579.0,tcp,FIN,0.386702,528,8824,31,29,1,4,-,9847.375977,167343.3281,10,12,255,255,901594880,3670404020,53,735,0,0,4055.643017,3663.118115,1421945073,1421945073,42.926778,35.113363,0.000595,0.000452,0.000143,0,0,0.0,0.0,0.0,14,6,8,18,4,4,8,Benign,0
59.166.0.7,64353.0,149.171.126.1,22.0,tcp,FIN,5.462808,36120,77164,31,29,77,177,ssh,52768.46484,112781.5547,414,508,255,255,1779675211,3929540745,87,152,0,0,1294.942154,1163.761802,1424237432,1424237437,13.487667,10.901561,0.001213,0.001097,0.000116,0,0,,,,1,1,1,3,1,1,1,Benign,0
59.166.0.2,14262.0,149.171.126.0,6863.0,tcp,FIN,0.008859,8928,320,31,29,4,1,ftp-data,7487075.0,241110.7344,14,6,255,255,1176580770,3336003402,638,53,0,0,40.953661,2.980388,1421930842,1421930842,0.681462,1.6492,0.000641,0.000482,0.000159,0,0,0.0,0.0,0.0,3,3,9,5,1,1,5,Benign,0
175.45.176.0,47439.0,149.171.126.12,53.0,udp,INT,6e-06,114,0,254,0,0,0,dns,76000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424223635,1424223635,0.006,0.0,0.0,0.0,0.0,0,2,,,,26,26,9,10,9,9,26,Generic,1
149.171.126.18,47439.0,175.45.176.3,53.0,udp,INT,4e-06,264,0,60,0,0,0,dns,264000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424232428,1424232428,0.004,0.0,0.0,0.0,0.0,0,0,,,,27,27,25,25,25,25,27,Benign,0
59.166.0.8,32952.0,149.171.126.5,111.0,udp,CON,0.006185,568,320,31,29,0,0,-,551010.5,310428.4688,4,4,0,0,0,0,142,80,0,0,2.448005,1.794167,1424222120,1424222120,1.737,1.274667,0.0,0.0,0.0,0,0,,,,8,5,2,4,1,1,7,Benign,0
59.166.0.0,6554.0,149.171.126.7,48759.0,tcp,FIN,0.012941,2542,21294,31,29,7,14,-,1532493.625,12850321.0,40,42,255,255,3485569981,1345918700,64,507,0,0,18.285779,18.760579,1421953520,1421953520,0.322615,0.303024,0.00066,0.000512,0.000148,0,0,0.0,0.0,0.0,13,10,2,2,1,1,1,Benign,0
149.171.126.14,47439.0,175.45.176.1,53.0,udp,INT,8e-06,264,0,60,0,0,0,dns,132000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424254888,1424254888,0.008,0.0,0.0,0.0,0.0,0,0,,,,16,16,16,16,16,16,16,Benign,0
59.166.0.2,49973.0,149.171.126.1,46648.0,tcp,FIN,0.005715,4032,2456,31,29,7,7,-,5330533.5,3247594.0,18,18,255,255,2323778030,182320860,224,136,0,0,16.800811,0.360428,1424243714,1424243714,0.319,0.276176,0.001135,0.001019,0.000116,0,0,,,,7,12,5,5,1,1,3,Benign,0
59.166.0.6,10988.0,149.171.126.9,53.0,udp,CON,0.00102,146,178,31,29,0,0,dns,572549.0625,698039.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424246474,1424246474,0.006,0.002,0.0,0.0,0.0,0,0,,,,2,2,2,4,2,1,1,Benign,0
59.166.0.5,36303.0,149.171.126.0,40967.0,udp,CON,0.001664,520,304,31,29,0,0,-,1875000.0,1096153.875,4,4,0,0,0,0,130,76,0,0,0.602926,0.266354,1424237066,1424237066,0.430333,0.193333,0.0,0.0,0.0,0,0,,,,10,13,6,6,1,1,7,Benign,0
59.166.0.9,22676.0,149.171.126.7,40313.0,udp,CON,0.001739,544,304,31,29,0,0,-,1876940.75,1048878.625,4,4,0,0,0,0,136,76,0,0,0.629796,0.301937,1424253449,1424253449,0.449333,0.219,0.0,0.0,0.0,0,0,,,,9,7,6,9,1,1,4,Benign,0
59.166.0.2,52535.0,149.171.126.8,5190.0,tcp,FIN,0.005753,1920,4312,31,29,6,6,-,2548931.0,5747262.5,22,24,255,255,2735534946,590459484,87,180,0,0,15.915611,12.761076,1424252309,1424252309,0.257333,0.223696,0.000724,0.000599,0.000125,0,0,,,,1,3,1,3,1,1,1,Benign,0
59.166.0.3,13327.0,149.171.126.3,53.0,udp,CON,0.001066,146,178,31,29,0,0,dns,547842.4375,667917.4375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421967613,1421967613,0.01,0.008,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3,3,1,2,1,1,1,Benign,0
59.166.0.2,53548.0,149.171.126.0,50800.0,tcp,FIN,0.03486,3390,44558,31,29,7,22,-,764199.625,10049340.0,56,58,255,255,2726653852,2726973062,61,768,0,0,38.67023,36.786263,1424254742,1424254742,0.628127,0.600754,0.00075,0.000608,0.000142,0,0,,,,6,4,2,1,1,1,1,Benign,0
59.166.0.8,44856.0,149.171.126.0,20894.0,tcp,FIN,2.421539,8928,320,31,29,4,1,ftp-data,27390.84375,882.083618,14,6,255,255,2353208794,3305878476,638,53,0,0,16909.60644,714.598062,1424229371,1424229373,186.272237,484.183406,0.00061,0.000492,0.000118,0,0,,,,1,2,5,4,1,1,3,Benign,0
59.166.0.7,21726.0,149.171.126.9,80.0,tcp,FIN,1.033486,1580,10168,31,29,3,5,http,11216.40723,74342.5625,12,18,255,255,756305630,774814599,132,565,1,0,9526.809155,7675.531967,1424226843,1424226844,93.921366,60.762174,0.000655,0.000526,0.000129,0,0,1.0,,,5,3,6,2,2,1,1,Benign,0
59.166.0.6,4192.0,149.171.126.5,25886.0,udp,CON,0.001631,528,304,31,29,0,0,-,1942366.75,1118332.375,4,4,0,0,0,0,132,76,0,0,0.592083,0.29392,1421928245,1421928245,0.422667,0.210333,0.0,0.0,0.0,0,0,0.0,0.0,0.0,6,4,6,6,1,1,3,Benign,0
175.45.176.0,1043.0,149.171.126.12,53.0,udp,INT,1e-05,114,0,254,0,0,0,dns,45600000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424224221,1424224221,0.01,0.0,0.0,0.0,0.0,0,2,,,,14,14,8,8,8,8,14,Generic,1
59.166.0.6,30768.0,149.171.126.0,55067.0,udp,CON,0.001811,520,304,31,29,0,0,-,1722805.0,1007178.313,4,4,0,0,0,0,130,76,0,0,0.664446,0.318207,1421958274,1421958274,0.475333,0.23,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,8,4,4,1,1,3,Benign,0
59.166.0.1,37652.0,149.171.126.7,14154.0,tcp,FIN,0.037442,4862,79882,31,29,7,36,-,1026654.625,16869612.0,84,86,255,255,40646842,2196154210,58,929,0,0,23.110874,22.615801,1421936108,1421936108,0.447578,0.434165,0.000688,0.000534,0.000154,0,0,0.0,0.0,0.0,2,7,7,5,1,1,1,Benign,0
59.166.0.5,63002.0,149.171.126.6,48182.0,tcp,FIN,0.987481,424,8824,31,29,1,4,ftp-data,3005.627441,65532.39844,8,12,255,255,1058325689,2290983565,53,735,0,0,9789.252544,7794.822693,1424261213,1424261214,141.023143,89.727639,0.000595,0.000474,0.000121,0,0,,,,1,1,1,1,1,1,3,Benign,0
59.166.0.5,42018.0,149.171.126.1,4128.0,tcp,FIN,0.047319,3062,32546,31,29,7,18,-,507364.9063,5387772.5,50,48,255,255,456167862,538649745,61,678,0,0,67.704241,1.929318,1421944978,1421944978,0.958143,0.994872,0.000689,0.000552,0.000137,0,0,0.0,0.0,0.0,31,10,4,35,4,4,4,Benign,0
175.45.176.2,51782.0,149.171.126.18,48149.0,tcp,REQ,9e-06,90,0,254,0,1,0,-,40000000.0,0.0,2,0,255,0,0,0,45,0,0,0,0.0,0.0,1424239868,1424239868,0.009,0.0,0.0,0.0,0.0,0,6,,,,6,6,3,3,1,1,6,Benign,0
59.166.0.9,48673.0,149.171.126.0,53.0,udp,CON,0.000962,146,178,31,29,0,0,dns,607068.625,740124.75,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424262030,1424262030,0.002,0.005,0.0,0.0,0.0,0,0,,,,2,1,3,4,2,1,1,Benign,0
59.166.0.1,14744.0,149.171.126.5,143.0,tcp,FIN,1.347585,7816,15876,31,29,30,32,-,46020.10547,93500.60156,122,126,255,255,465089294,466191762,64,126,0,0,702.064353,694.098433,1421934892,1421934893,11.134347,10.776648,0.000632,0.000498,0.000134,0,0,0.0,0.0,0.0,6,14,5,1,1,1,1,Benign,0
59.166.0.8,30721.0,149.171.126.3,80.0,tcp,FIN,0.003904,1044,824,31,29,2,2,http,1872950.875,1520491.875,8,10,255,255,2838131095,689532204,131,82,1,83,32.721437,0.673365,1424261808,1424261808,0.509,0.375667,0.000646,0.00052,0.000126,0,0,1.0,,,3,1,6,15,2,1,1,Benign,0
59.166.0.4,29546.0,149.171.126.7,6881.0,tcp,FIN,11.25291,13766,548216,31,29,21,197,-,9746.101562,388852.3125,240,438,255,255,2577034656,2683500407,57,1252,0,0,18529.94742,13694.58238,1424230747,1424230759,47.082005,25.749264,0.000593,0.000479,0.000114,0,0,,,,4,6,7,3,1,1,2,Benign,0
59.166.0.7,45078.0,149.171.126.4,5840.0,udp,CON,0.001795,512,304,31,29,0,0,-,1711420.625,1016155.938,4,4,0,0,0,0,128,76,0,0,0.631682,0.329749,1424255824,1424255824,0.450667,0.238667,0.0,0.0,0.0,0,0,,,,5,5,3,3,1,1,4,Benign,0
175.45.176.2,13197.0,149.171.126.16,514.0,udp,INT,4e-06,230,0,254,0,0,0,-,230000000.0,0.0,2,0,0,0,0,0,115,0,0,0,0.0,0.0,1424260537,1424260537,0.004,0.0,0.0,0.0,0.0,0,2,,,,4,4,1,1,1,1,4,Fuzzers,1
59.166.0.7,42438.0,149.171.126.5,3105.0,tcp,FIN,0.038892,2854,30856,31,29,7,17,-,574308.3125,6214954.0,46,48,255,255,1969328932,4125779647,62,643,0,0,0.0,54.668682,1424249394,1424249394,0.857067,0.817234,0.000605,0.000479,0.000126,0,0,,,,2,3,4,3,1,1,1,Benign,0
